date,line,defect_cause,count
2026-05-01,Aライン,材料不良,9
2026-05-01,Aライン,設備調整不足,3
2026-05-01,Aライン,作業ミス,2
2026-05-01,Aライン,治具摩耗,3
2026-05-04,Aライン,材料不良,8
2026-05-04,Aライン,設備調整不足,4
2026-05-04,Aライン,作業ミス,7
2026-05-04,Aライン,治具摩耗,7
2026-05-04,Aライン,その他,1
2026-05-05,Aライン,材料不良,11
2026-05-05,Aライン,設備調整不足,6
2026-05-05,Aライン,作業ミス,7
2026-05-05,Aライン,治具摩耗,3
2026-05-05,Aライン,その他,1
2026-05-06,Aライン,材料不良,6
2026-05-06,Aライン,設備調整不足,4
2026-05-06,Aライン,作業ミス,7
2026-05-06,Aライン,治具摩耗,5
2026-05-06,Aライン,その他,1
2026-05-07,Aライン,材料不良,10
2026-05-07,Aライン,設備調整不足,5
2026-05-07,Aライン,作業ミス,6
2026-05-07,Aライン,治具摩耗,1
2026-05-07,Aライン,その他,3
2026-05-08,Aライン,材料不良,5
2026-05-08,Aライン,設備調整不足,1
2026-05-08,Aライン,作業ミス,7
2026-05-08,Aライン,治具摩耗,6
2026-05-08,Aライン,その他,5
2026-05-11,Aライン,材料不良,4
2026-05-11,Aライン,設備調整不足,5
2026-05-11,Aライン,作業ミス,6
2026-05-11,Aライン,治具摩耗,3
2026-05-11,Aライン,その他,2
2026-05-12,Aライン,材料不良,3
2026-05-12,Aライン,設備調整不足,6
2026-05-12,Aライン,作業ミス,10
2026-05-12,Aライン,治具摩耗,4
2026-05-12,Aライン,その他,2
2026-05-13,Aライン,材料不良,7
2026-05-13,Aライン,設備調整不足,4
2026-05-13,Aライン,作業ミス,4
2026-05-13,Aライン,治具摩耗,4
2026-05-13,Aライン,その他,3
2026-05-14,Aライン,材料不良,7
2026-05-14,Aライン,設備調整不足,4
2026-05-14,Aライン,作業ミス,7
2026-05-14,Aライン,治具摩耗,2
2026-05-14,Aライン,その他,1
2026-05-15,Aライン,材料不良,7
2026-05-15,Aライン,設備調整不足,3
2026-05-15,Aライン,作業ミス,8
2026-05-15,Aライン,治具摩耗,3
2026-05-18,Aライン,材料不良,10
2026-05-18,Aライン,設備調整不足,6
2026-05-18,Aライン,作業ミス,5
2026-05-18,Aライン,治具摩耗,4
2026-05-18,Aライン,その他,1
2026-05-19,Aライン,材料不良,7
2026-05-19,Aライン,設備調整不足,3
2026-05-19,Aライン,作業ミス,4
2026-05-19,Aライン,治具摩耗,4
2026-05-19,Aライン,その他,4
2026-05-20,Aライン,材料不良,4
2026-05-20,Aライン,設備調整不足,5
2026-05-20,Aライン,作業ミス,10
2026-05-20,Aライン,治具摩耗,2
2026-05-20,Aライン,その他,1
2026-05-21,Aライン,材料不良,9
2026-05-21,Aライン,設備調整不足,3
2026-05-21,Aライン,作業ミス,5
2026-05-21,Aライン,治具摩耗,2
2026-05-21,Aライン,その他,1
2026-05-22,Aライン,材料不良,7
2026-05-22,Aライン,設備調整不足,5
2026-05-22,Aライン,作業ミス,3
2026-05-22,Aライン,治具摩耗,5
2026-05-22,Aライン,その他,4
2026-05-25,Aライン,材料不良,2
2026-05-25,Aライン,設備調整不足,6
2026-05-25,Aライン,作業ミス,3
2026-05-25,Aライン,治具摩耗,6
2026-05-25,Aライン,その他,1
2026-05-26,Aライン,材料不良,9
2026-05-26,Aライン,設備調整不足,3
2026-05-26,Aライン,作業ミス,4
2026-05-26,Aライン,治具摩耗,7
2026-05-26,Aライン,その他,3
2026-05-27,Aライン,材料不良,6
2026-05-27,Aライン,設備調整不足,8
2026-05-27,Aライン,作業ミス,5
2026-05-27,Aライン,治具摩耗,2
2026-05-27,Aライン,その他,2
2026-05-28,Aライン,材料不良,10
2026-05-28,Aライン,設備調整不足,3
2026-05-28,Aライン,作業ミス,1
2026-05-28,Aライン,治具摩耗,1
2026-05-28,Aライン,その他,2
2026-05-29,Aライン,材料不良,5
2026-05-29,Aライン,設備調整不足,2
2026-05-29,Aライン,作業ミス,5
2026-05-29,Aライン,治具摩耗,6
2026-05-29,Aライン,その他,2
2026-06-01,Aライン,材料不良,4
2026-06-01,Aライン,設備調整不足,5
2026-06-01,Aライン,作業ミス,4
2026-06-01,Aライン,治具摩耗,5
2026-06-01,Aライン,その他,2
2026-06-02,Aライン,材料不良,2
2026-06-02,Aライン,設備調整不足,4
2026-06-02,Aライン,作業ミス,9
2026-06-02,Aライン,治具摩耗,3
2026-06-02,Aライン,その他,2
2026-06-03,Aライン,材料不良,7
2026-06-03,Aライン,設備調整不足,4
2026-06-03,Aライン,作業ミス,2
2026-06-03,Aライン,治具摩耗,3
2026-06-03,Aライン,その他,1
2026-06-04,Aライン,材料不良,6
2026-06-04,Aライン,設備調整不足,8
2026-06-04,Aライン,作業ミス,9
2026-06-04,Aライン,治具摩耗,1
