date,line,planned_output_qty,actual_output_qty,good_qty,defect_qty,planned_minutes,actual_operating_minutes
2026-05-01,Aライン,1210,1133,1116,17,480,441.2
2026-05-04,Aライン,1169,1120,1093,27,480,459.6
2026-05-05,Aライン,1231,1140,1112,28,480,450.7
2026-05-06,Aライン,1213,1199,1176,23,480,455.2
2026-05-07,Aライン,1195,1117,1092,25,480,443.1
2026-05-08,Aライン,1208,1158,1134,24,480,452.3
2026-05-11,Aライン,1147,1057,1037,20,480,448.1
2026-05-12,Aライン,1187,1135,1110,25,480,452.8
2026-05-13,Aライン,1154,1069,1047,22,480,440.3
2026-05-14,Aライン,1188,1119,1098,21,480,455.6
2026-05-15,Aライン,1217,1152,1131,21,480,455.5
2026-05-18,Aライン,1164,1095,1069,26,480,455.0
2026-05-19,Aライン,1165,1049,1027,22,480,447.9
2026-05-20,Aライン,1180,1150,1128,22,480,453.4
2026-05-21,Aライン,1230,1137,1117,20,480,454.6
2026-05-22,Aライン,1191,1091,1067,24,480,437.1
2026-05-25,Aライン,1123,1052,1034,18,480,453.8
2026-05-26,Aライン,1162,1052,1026,26,480,435.1
2026-05-27,Aライン,1165,1060,1037,23,480,444.2
2026-05-28,Aライン,1198,1100,1083,17,480,444.9
2026-05-29,Aライン,1195,1135,1115,20,480,453.9
2026-06-01,Aライン,1155,1090,1070,20,480,438.1
2026-06-02,Aライン,1167,1111,1091,20,480,457.4
2026-06-03,Aライン,1126,1031,1014,17,480,450.7
2026-06-04,Aライン,1182,1115,1090,25,480,448.1
2026-06-05,Aライン,1206,1112,1084,28,480,440.8
2026-06-08,Aライン,1178,1098,1080,18,480,454.2
2026-06-09,Aライン,1279,1215,1193,22,480,446.1
2026-06-10,Aライン,1160,1106,1087,19,480,468.8
2026-06-11,Aライン,1227,1160,1143,17,480,455.4
2026-06-12,Aライン,1216,1175,1154,21,480,460.9
2026-06-15,Aライン,1301,1287,1267,20,480,471.3
2026-06-16,Aライン,1209,1169,1147,22,480,455.8
2026-06-17,Aライン,1189,1118,1094,24,480,450.2
2026-06-18,Aライン,1186,1110,1095,15,480,434.3
2026-06-19,Aライン,1187,1186,1161,25,480,463.7
2026-06-22,Aライン,1189,1141,1125,16,480,451.8
2026-06-23,Aライン,1227,1160,1140,20,480,468.7
2026-06-24,Aライン,1174,1053,1036,17,480,441.5
2026-06-25,Aライン,1117,1065,1042,23,480,454.1
2026-06-26,Aライン,1253,1173,1150,23,480,454.7
2026-06-29,Aライン,1168,1102,1080,22,480,449.8
2026-06-30,Aライン,1170,1104,1081,23,480,453.1
2026-07-01,Aライン,1192,1062,1044,18,480,432.0
2026-07-02,Aライン,1171,1117,1102,15,480,455.4
2026-07-03,Aライン,1225,1160,1139,21,480,452.5
2026-07-06,Aライン,1185,1023,1011,12,480,407.8
2026-07-07,Aライン,1226,1170,1147,23,480,448.5
2026-07-08,Aライン,1248,1161,1146,15,480,452.1
2026-07-09,Aライン,1150,1100,1082,18,480,455.0
2026-07-10,Aライン,1161,1072,1053,19,480,444.9
2026-07-13,Aライン,1238,1164,1145,19,480,448.0
2026-07-14,Aライン,1205,1166,1147,19,480,461.5
2026-07-15,Aライン,1159,1120,1099,21,480,446.8
2026-07-16,Aライン,1206,1173,1157,16,480,457.1
2026-07-17,Aライン,1203,1140,1124,16,480,456.8
2026-07-20,Aライン,1223,1169,1149,20,480,461.6
2026-07-21,Aライン,1128,1044,1029,15,480,436.8
2026-07-22,Aライン,1215,1093,1077,16,480,445.8
2026-07-23,Aライン,1224,1170,1154,16,480,444.6
2026-07-24,Aライン,1184,1153,1131,22,480,465.2
2026-07-27,Aライン,1143,1113,1102,11,480,457.3
2026-07-28,Aライン,1193,1119,1104,15,480,448.8
2026-07-29,Aライン,1210,1179,1163,16,480,470.7
2026-05-01,Bライン,924,821,794,27,480,426.5
2026-05-04,Bライン,965,861,828,33,480,429.0
2026-05-05,Bライン,985,829,804,25,480,424.8
2026-05-06,Bライン,916,825,801,24,480,419.2
2026-05-07,Bライン,902,771,740,31,480,414.9
2026-05-08,Bライン,986,874,839,35,480,421.2
2026-05-11,Bライン,956,810,787,23,480,413.5
2026-05-12,Bライン,937,824,793,31,480,427.5
2026-05-13,Bライン,881,805,785,20,480,442.7
2026-05-14,Bライン,966,882,841,41,480,432.2
2026-05-15,Bライン,900,833,804,29,480,428.8
2026-05-18,Bライン,925,821,800,21,480,428.9
2026-05-19,Bライン,901,764,748,16,480,411.7
2026-05-20,Bライン,973,879,847,32,480,430.6
2026-05-21,Bライン,985,857,829,28,480,422.2
2026-05-22,Bライン,937,855,835,20,480,430.2
2026-05-25,Bライン,923,813,789,24,480,425.3
2026-05-26,Bライン,965,854,822,32,480,425.1
2026-05-27,Bライン,905,801,774,27,480,433.8
2026-05-28,Bライン,991,867,843,24,480,429.9
2026-05-29,Bライン,957,868,846,22,480,428.7
2026-06-01,Bライン,896,827,797,30,480,428.2
2026-06-02,Bライン,921,876,851,25,480,446.9
2026-06-03,Bライン,968,881,860,21,480,434.3
2026-06-04,Bライン,999,941,910,31,480,440.2
2026-06-05,Bライン,912,594,574,20,480,307.2
2026-06-08,Bライン,945,835,806,29,480,420.0
2026-06-09,Bライン,979,853,824,29,480,427.6
2026-06-10,Bライン,914,804,780,24,480,424.1
2026-06-11,Bライン,938,820,795,25,480,429.5
2026-06-12,Bライン,889,758,734,24,480,409.3
2026-06-15,Bライン,917,794,770,24,480,423.6
2026-06-16,Bライン,951,882,852,30,480,444.0
2026-06-17,Bライン,939,827,800,27,480,422.5
2026-06-18,Bライン,968,841,814,27,480,417.8
2026-06-19,Bライン,933,678,656,22,480,344.1
2026-06-22,Bライン,947,858,836,22,480,426.9
2026-06-23,Bライン,937,773,751,22,480,403.2
2026-06-24,Bライン,930,786,760,26,480,418.9
2026-06-25,Bライン,1008,893,870,23,480,425.0
2026-06-26,Bライン,978,875,846,29,480,438.3
2026-06-29,Bライン,953,868,842,26,480,421.7
